"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","dispersion","mean_sd","ecr"
0.004,Inf,0.7622205,0.104142656963202,49.539,426.02,1,4.14498721504252e-05,-4.14498721504252e-05,0.00421023365655427,0.00421213620889963,0.00418452414200557,0.951
0.004,Inf,0.7622205,0.104142656963202,49.539,426.02,4,0.000159440236571811,-0.000159440236571811,0.0094207863857272,0.00942415033549503,0.00927024669230329,0.947
0.004,Inf,0.7622205,0.104142656963202,49.539,426.02,7,0.000682574812946111,-0.000682574812946111,0.0140996469324968,0.0140901620967863,0.0143225915403519,0.958
0.005,Inf,0.7570975,0.126718234015637,61.582,424.223,1,6.75540353540043e-05,-6.75540353540043e-05,0.00424008988983988,0.00424167307989978,0.00423891664164481,0.95
0.005,Inf,0.7570975,0.126718234015637,61.582,424.223,4,0.000195986818339077,-0.000195986818339077,0.00949125535929735,0.00949397983542959,0.00931533527244592,0.948
0.005,Inf,0.7570975,0.126718234015637,61.582,424.223,7,0.000624703872009053,-0.000624703872009053,0.0142338512073181,0.0142272513137398,0.0142741172887188,0.961
0.007,Inf,0.746987,0.168645485081658,85.361,420.665,1,5.2574891179081e-05,-5.2574891179081e-05,0.00434835344940607,0.00435021125230935,0.00434097436176081,0.946
0.007,Inf,0.746987,0.168645485081658,85.361,420.665,4,0.000295769926357561,-0.000295769926357561,0.00979990995358156,0.00980034703727478,0.00939774324612803,0.95
0.007,Inf,0.746987,0.168645485081658,85.361,420.665,7,0.000464865273085665,-0.000464865273085665,0.0143466413420589,0.0143462829300645,0.0141744464893975,0.957
0.01,Inf,0.732062,0.224808549939922,120.483,415.393,1,8.7457430357809e-05,-8.7457430357809e-05,0.00449842652959022,0.00449982676120727,0.00448980273444662,0.952
0.01,Inf,0.732062,0.224808549939922,120.483,415.393,4,0.000127708639185583,-0.000127708639185583,0.0100294321793441,0.0100336371380352,0.00950128406846672,0.945
0.01,Inf,0.732062,0.224808549939922,120.483,415.393,7,0.000256788295679825,-0.000256788295679825,0.0144866713927885,0.0144916429547988,0.014010669903742,0.962
0.014,Inf,0.712376,0.289993571897192,166.816,408.432,1,5.79257485742493e-05,-5.79257485742493e-05,0.00481903737891036,0.00482110038018948,0.00467194675775373,0.944
0.014,Inf,0.712376,0.289993571897192,166.816,408.432,4,0.000166561960545977,0.000166561960545977,0.010371823539472,0.0103756751723696,0.00961270569981648,0.95
0.014,Inf,0.712376,0.289993571897192,166.816,408.432,7,0.000355245826023261,-0.000355245826023261,0.0145032305963582,0.0145061340839072,0.0137632650254714,0.959
0.019,Inf,0.6885085,0.357611974290863,222.794,400.189,1,8.2761214283314e-05,-8.2761214283314e-05,0.00504548773783476,0.00504733322326929,0.00488580454569196,0.955
0.019,Inf,0.6885085,0.357611974290863,222.794,400.189,4,5.28574036781908e-05,5.28574036781908e-05,0.0105537951817886,0.010558943608342,0.00971775296172138,0.951
0.019,Inf,0.6885085,0.357611974290863,222.794,400.189,7,0.000505229862811234,-0.000505229862811234,0.014714358818142,0.0147130408749022,0.013423793191301,0.958
0.03,Inf,0.6393185,0.469373656732949,338.589,382.774,1,0.000197346593697164,-0.000197346593697164,0.00568798475710566,0.00568740463572911,0.00530124381898914,0.947
0.03,Inf,0.6393185,0.469373656732949,338.589,382.774,4,4.12813280123696e-05,4.12813280123696e-05,0.0112503736396739,0.0112559272733529,0.00982132460255505,0.949
0.03,Inf,0.6393185,0.469373656732949,338.589,382.774,7,0.000173715004597311,-0.000173715004597311,0.014925529862535,0.0149319867734875,0.0126053239429576,0.955
0.04,Inf,0.5973405,0.543388450805498,437.612,367.707,1,7.92032219153402e-05,-7.92032219153402e-05,0.00603746642173736,0.00603996762011987,0.00561770800629567,0.943
0.04,Inf,0.5973405,0.543388450805498,437.612,367.707,4,0.000120403597519989,-0.000120403597519989,0.0114893014805034,0.011494419217897,0.00980261298875233,0.959
0.04,Inf,0.5973405,0.543388450805498,437.612,367.707,7,0.00054444109273105,-0.00054444109273105,0.0155056617377712,0.0155038543376171,0.0118111062532217,0.942
0.055,Inf,0.5400535,0.623236649953417,573.303,346.59,1,0.000133746046900468,0.000133746046900468,0.00653466318553507,0.00653656343998364,0.00601845977265616,0.947
0.055,Inf,0.5400535,0.623236649953417,573.303,346.59,4,6.70938225895702e-06,6.70938225895702e-06,0.0119718432692651,0.0119778318030744,0.00962945154992124,0.947
0.055,Inf,0.5400535,0.623236649953417,573.303,346.59,7,0.000360865268949034,-0.000360865268949034,0.0152747993289606,0.0152781770342922,0.0106065154111622,0.953
0.07,Inf,0.4883315,0.680054657634185,695.912,327.425,1,0.000178967315616299,0.000178967315616299,0.00701226003947344,0.00701348347910285,0.00635337489964842,0.949
0.07,Inf,0.4883315,0.680054657634185,695.912,327.425,4,0.000296840144808887,-0.000296840144808887,0.0125554409814548,0.0125582121681425,0.00933538991014517,0.941
0.07,Inf,0.4883315,0.680054657634185,695.912,327.425,7,0.000467299981237998,-0.000467299981237998,0.0151814095914932,0.0151818086942051,0.00944082008973247,0.96
0.1,Inf,0.3996995,0.756105187403219,907.771,292.83,1,6.7902700689492e-06,-6.7902700689492e-06,0.00776723065444133,0.00777111421532802,0.00686810565977523,0.944
0.1,Inf,0.3996995,0.756105187403219,907.771,292.83,4,0.000221678014160674,-0.000221678014160674,0.0128217228278151,0.0128262210755324,0.00855207400827987,0.952
0.1,Inf,0.3996995,0.756105187403219,907.771,292.83,7,0.000558796826324575,-0.000558796826324575,0.0143118212502239,0.0143080639605626,0.00733692589658551,0.965
0.3,10.395,0.3018405,0.9116637537191,1272.965,123.354,1,2.99677365101268e-05,2.99677365101268e-05,0.0105471132656418,0.0105523481853695,0.00787570138537621,0.947
0.3,10.395,0.3018405,0.9116637537191,1272.965,123.354,4,6.20819384675583e-05,6.20819384675583e-05,0.0124516858337355,0.0124577615066561,0.00395454304698037,0.958
0.3,10.395,0.3018405,0.9116637537191,1272.965,123.354,7,0.000190214369091817,0.000190214369091817,0.0120942714871062,0.0120988265092331,0.00158948296175426,0.954
